movieId,ave_rating,title,genres
1041,4.590909090909091,Secrets & Lies (1996),Drama
3451,4.545454545454546,Guess Who's Coming to Dinner (1967),Drama
1178,4.541666666666667,Paths of Glory (1957),Drama|War
1104,4.475,"Streetcar Named Desire, A (1951)",Drama
2360,4.458333333333333,"Celebration, The (Festen) (1998)",Drama
1217,4.433333333333334,Ran (1985),Drama|War
318,4.429022082018927,"Shawshank Redemption, The (1994)",Crime|Drama
951,4.392857142857143,His Girl Friday (1940),Comedy|Romance
922,4.333333333333333,Sunset Blvd. (a.k.a. Sunset Boulevard) (1950),Drama|Film-Noir|Romance
3468,4.333333333333333,"Hustler, The (1961)",Drama
3435,4.323529411764706,Double Indemnity (1944),Crime|Drama|Film-Noir
905,4.321428571428571,It Happened One Night (1934),Comedy|Romance
898,4.310344827586207,"Philadelphia Story, The (1940)",Comedy|Drama|Romance
7156,4.3076923076923075,"Fog of War: Eleven Lessons from the Life of Robert S. McNamara, The (2003)",Documentary|War
176,4.3076923076923075,Living in Oblivion (1995),Comedy
1209,4.305555555555555,Once Upon a Time in the West (C'era una volta il West) (1968),Action|Drama|Western
1204,4.3,Lawrence of Arabia (1962),Adventure|Drama|War
475,4.3,In the Name of the Father (1993),Drama
246,4.293103448275862,Hoop Dreams (1994),Documentary
80906,4.291666666666667,Inside Job (2010),Documentary
858,4.2890625,"Godfather, The (1972)",Crime|Drama
1235,4.288461538461538,Harold and Maude (1971),Comedy|Drama|Romance
168252,4.28,Logan (2017),Action|Sci-Fi
2959,4.272935779816514,Fight Club (1999),Action|Crime|Drama|Thriller
1276,4.271929824561403,Cool Hand Luke (1967),Drama
750,4.268041237113402,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),Comedy|War
1248,4.264705882352941,Touch of Evil (1958),Crime|Film-Noir|Thriller
904,4.261904761904762,Rear Window (1954),Mystery|Thriller
1221,4.25968992248062,"Godfather: Part II, The (1974)",Crime|Drama
48516,4.252336448598131,"Departed, The (2006)",Crime|Drama|Thriller
1267,4.25,"Manchurian Candidate, The (1962)",Crime|Thriller|War
3508,4.25,"Outlaw Josey Wales, The (1976)",Action|Adventure|Drama|Thriller|Western
930,4.25,Notorious (1946),Film-Noir|Romance|Thriller
3429,4.25,Creature Comforts (1989),Animation|Comedy
1213,4.25,Goodfellas (1990),Crime|Drama
1719,4.25,"Sweet Hereafter, The (1997)",Drama
912,4.24,Casablanca (1942),Drama|Romance
58559,4.238255033557047,"Dark Knight, The (2008)",Action|Crime|Drama|IMAX
50,4.237745098039215,"Usual Suspects, The (1995)",Crime|Mystery|Thriller
